Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
 OPUS: Echo of Starsong,SIGONO INC.,2021,17.99,"Adventure, Indie",0.97,2984,50000,100000
 Chicory: A Colorful Tale,"Greg Lobanov, Alexis Dean-Jones, Lena Raine, Madeline Berger, A Shell in the Pit",2021,19.99,"Adventure, Indie, RPG",0.98,916,0,20000
 Psychonauts 2,Double Fine Productions,2021,59.99,"Action, Adventure",0.98,4621,100000,200000
 It Takes Two,Hazelight,2021,39.99,"Action, Adventure",0.96,52183,2000000,5000000
 Lacuna – A Sci-Fi Noir Adventure,DigiTales Interactive,2021,9.59,"Adventure, Indie",0.94,596,200000,500000
 Blind Drive,Lo-Fi People,2021,9.99,"Action, Indie",0.97,97,0,20000
 Ragnarock,WanadevStudio,2021,24.99,"Casual, Indie, Racing, Sports",0.95,1615,20000,50000
 Wildermyth,Worldwalker Games LLC,2021,24.99,"Indie, RPG, Strategy, in Early Access",0.95,9513,200000,500000
 Mini Motorways,Dinosaur Polo Club,2021,9.99,"Casual, Indie, Simulation, Strategy",0.96,10662,200000,500000
 ENDER LILIES: Quietus of the Knights,"Live Wire, Adglobe",2021,24.99,"Action, Indie, RPG, in Early Access",0.95,12142,200000,500000
 DEATHLOOP,Arkane Studios,2021,59.99,Action,0.78,12070,500000,1000000
 F1 2021,Codemasters,2021,59.99,"Racing, Simulation, Sports",0.85,14170,500000,1000000
 Mass Effect Legendary Edition,BioWare,2021,59.99,"Action, RPG",0.93,21724,500000,1000000
 Nioh 2 – The Complete Edition,"KOEI TECMO GAMES CO., LTD.",2021,49.99,"Action, RPG",0.87,18100,500000,1000000
 The Last Friend,"The Stonebot Studio, Ludus Games",2021,14.99,"Action, Indie, Strategy",1.0,16,0,20000
 Cook-Out,Resolution Games,2021,19.99,"Casual, Indie, Simulation",0.94,87,0,20000
 Flynn: Son of Crimson,Studio Thunderhorse,2021,19.99,"Action, Adventure, Indie",0.83,143,0,20000
 HUNTDOWN,Easy Trigger Games,2021,19.99,"Action, Indie",0.95,1167,20000,50000
 Death's Door,Acid Nerve,2021,19.99,"Action, Adventure, Indie, RPG",0.95,6735,200000,500000
 GUILTY GEAR -STRIVE-,Arc System Works,2021,59.99,Action,0.91,15209,500000,1000000
 The Legend of Tianding,Creative Games Computer Graphics Corporation,2021,19.99,"Action, Adventure, RPG",0.97,931,50000,100000
 Atelier Ryza 2: Lost Legends & the Secret Fairy,"KOEI TECMO GAMES CO., LTD.",2021,59.99,RPG,0.91,1430,50000,100000
 The Forgotten City,Modern Storyteller,2021,24.99,"Adventure, Indie, RPG",0.97,3358,100000,200000
 Unpacking,Witch Beam,2021,19.99,"Casual, Indie, Simulation",0.92,4149,100000,200000
 Everhood,"Chris Nordgren, Jordi Roca",2021,9.99,"Action, Adventure, Indie, RPG",0.96,5942,100000,200000
 Griftlands,Klei Entertainment,2021,19.99,"Indie, in Early Access",0.95,10475,200000,500000
 Tales of Arise,BANDAI NAMCO Studios Inc.,2021,59.99,"Action, RPG",0.91,13736,1000000,2000000
 Astalon: Tears of the Earth,LABS Works,2021,19.99,"Action, Adventure",0.94,291,0,20000
 UNSIGHTED,Studio Pixel Punk,2021,19.99,"Action, Adventure, Indie, RPG",0.95,322,0,20000
 Fuga: Melodies of Steel,CyberConnect2,2021,39.99,RPG,0.92,462,0,20000
 The Darkside Detective: A Fumble in the Dark,Spooky Doorway,2021,12.99,"Adventure, Casual, Indie",0.97,442,20000,50000
 Sunlight,Krillbite Studio,2021,3.99,"Adventure, Indie",0.85,101,0,20000
 Papetura,Petums,2021,11.99,"Adventure, Casual, Indie",0.93,505,20000,50000
 Demeo,Resolution Games,2021,23.99,"Adventure, Indie, RPG, Strategy",0.91,867,50000,100000
 Trials of Fire,Whatboy Games,2021,19.99,"Indie, RPG, Strategy",0.88,2230,50000,100000
 The Great Ace Attorney Chronicles,"CAPCOM Co., Ltd.",2021,39.99,Adventure,0.96,1544,50000,100000
 The Riftbreaker,EXOR Studios,2021,29.99,"Action, Adventure, Indie, RPG, Simulation, Strategy",0.92,8150,200000,500000
 Pathfinder: Wrath of the Righteous,Owlcat Games,2021,49.99,"Adventure, Indie, RPG, Strategy",0.84,12190,500000,1000000
 Clone Drone in the Danger Zone,Doborog Games,2021,19.99,"Action, Indie",0.97,14544,500000,1000000
 Little Nightmares II,Tarsier Studios,2021,29.99,Adventure,0.95,13711,500000,1000000
 Resident Evil Village,"CAPCOM Co., Ltd.",2021,79.99,Action,0.95,44826,1000000,2000000
 Ruined King: A League of Legends Story,Airship Syndicate,2021,29.99,"Indie, RPG",0.89,5976,200000,500000
 Eastward,Pixpil,2021,24.99,"Adventure, Indie, RPG",0.86,9149,200000,500000
 Rainbow Billy: The Curse of the Leviathan,ManaVoid Entertainment,2021,29.99,"Adventure, Indie, RPG",1.0,28,0,20000
 Bonfire Peaks,Corey Martin,2021,19.99,Indie,0.97,98,0,20000
 Star Drift Evolution,Catze,2021,14.99,Racing,0.95,131,0,20000
 Kaze and the Wild Masks,PixelHive,2021,19.99,"Action, Adventure, Casual, Indie",0.97,494,0,20000
 Cyber Shadow,"Aarne ""MekaSkull"" Hunziker",2021,19.99,"Action, Indie",0.83,721,50000,100000
 The Ramp,Hyperparadise,2021,5.99,"Casual, Indie, Simulation, Sports",0.97,803,0,20000
 UnMetal,@unepic_fran,2021,19.99,"Action, Adventure, Indie",0.94,744,20000,50000
 Circuit Superstars,Original Fire Games,2021,19.99,"Racing, in Early Access",0.89,891,20000,50000
 ElecHead,"NamaTakahashi, Tsuyomi",2021,9.99,"Action, Adventure, Indie",0.98,293,0,20000
 Silicon Dreams | cyberpunk interrogation,"James Patton, Clockwork Bird",2021,14.99,"Adventure, Indie, Simulation",0.97,98,0,20000
 Ynglet,Nifflas,2021,4.99,"Action, Adventure, Casual, Indie",0.99,179,0,20000
 The Pathless,Giant Squid,2021,39.99,"Action, Adventure, Indie",0.92,229,0,20000
 Overboard!,inkle Ltd,2021,14.99,"Adventure, Indie",0.91,224,50000,100000
 Doctor Who: The Lonely Assassins,Kaigan Games OÜ,2021,5.99,"Adventure, Casual, Indie",0.91,431,50000,100000
 Boomerang X,DANG!,2021,19.99,"Action, Indie",0.95,408,20000,50000
