Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
Chicory: A Colorful Tale,"Greg Lobanov, Alexis Dean-Jones, Lena Raine, Madeline Berger, A Shell in the Pit",2021,15.99,"Adventure,Indie,RPG",0.98,976,0,20000
Psychonauts 2,Double Fine Productions,2021,38.99,"Action,Adventure",0.98,4756,100000,200000
Lacuna – A Sci-Fi Noir Adventure,DigiTales Interactive,2021,9.59,"Adventure,Indie",0.94,603,200000,500000
OPUS: Echo of Starsong,SIGONO INC.,2021,13.49,"Adventure,Indie",0.97,3135,50000,100000
It Takes Two,Hazelight,2021,19.99,"Action,Adventure",0.96,54033,2000000,5000000
Ragnarock,WanadevStudio,2021,18.74,"Casual,Indie,Racing,Sports",0.96,1641,20000,50000
Wildermyth,Worldwalker Games LLC,2021,18.74,"Indie,RPG,Strategy,in Early Access",0.95,9794,200000,500000
Blind Drive,Lo-Fi People,2021,7.49,"Action,Indie",0.97,103,0,20000
The Last Friend,"The Stonebot Studio, Ludus Games",2021,10.04,"Action,Indie,Strategy",1.0,17,0,20000
Cook-Out,Resolution Games,2021,14.99,"Casual,Indie,Simulation",0.93,90,0,20000
Flynn: Son of Crimson,Studio Thunderhorse,2021,15.99,"Action,Adventure,Indie",0.83,147,0,20000
Mini Motorways,Dinosaur Polo Club,2021,8.99,"Casual,Indie,Simulation,Strategy",0.96,10858,200000,500000
ENDER LILIES: Quietus of the Knights,"Live Wire, Adglobe",2021,18.74,"Action,Indie,RPG,in Early Access",0.95,12610,200000,500000
DEATHLOOP,Arkane Studios,2021,29.99,Action,0.78,12472,200000,500000
F1 2021,Codemasters,2021,23.99,"Racing,Simulation,Sports",0.85,15426,1000000,2000000
Mass Effect Legendary Edition,BioWare,2021,29.99,"Action,RPG",0.93,22084,500000,1000000
Nioh 2 – The Complete Edition,"KOEI TECMO GAMES CO., LTD.",2021,34.99,"Action,RPG",0.87,18336,500000,1000000
HUNTDOWN,Easy Trigger Games,2021,7.99,"Action,Indie",0.95,1204,20000,50000
Death's Door,Acid Nerve,2021,14.99,"Action,Adventure,Indie,RPG",0.95,7026,200000,500000
GUILTY GEAR -STRIVE-,Arc System Works,2021,38.99,Action,0.92,15559,500000,1000000
The Darkside Detective: A Fumble in the Dark,Spooky Doorway,2021,9.74,"Adventure,Casual,Indie",0.97,459,20000,50000
Atelier Ryza 2: Lost Legends & the Secret Fairy,"KOEI TECMO GAMES CO., LTD.",2021,59.99,RPG,0.92,1438,50000,100000
The Forgotten City,Modern Storyteller,2021,18.74,"Adventure,Indie,RPG",0.97,3522,100000,200000
Unpacking,Witch Beam,2021,19.99,"Casual,Indie,Simulation",0.92,4748,100000,200000
Everhood,"Chris Nordgren, Jordi Roca",2021,7.49,"Action,Adventure,Indie,RPG",0.96,6059,100000,200000
Griftlands,Klei Entertainment,2021,13.39,"Indie,in Early Access",0.95,10530,200000,500000
Tales of Arise,BANDAI NAMCO Studios Inc.,2021,41.99,"Action,RPG",0.91,14091,1000000,2000000
Astalon: Tears of the Earth,LABS Works,2021,12.99,"Action,Adventure",0.95,300,0,20000
UNSIGHTED,Studio Pixel Punk,2021,15.99,"Action,Adventure,Indie,RPG",0.95,380,0,20000
Fuga: Melodies of Steel,CyberConnect2,2021,31.99,RPG,0.92,471,0,20000
Sunlight,Krillbite Studio,2021,3.99,"Adventure,Indie",0.85,102,0,20000
Papetura,Petums,2021,8.39,"Adventure,Casual,Indie",0.93,511,20000,50000
Demeo,Resolution Games,2021,23.99,"Adventure,Indie,RPG,Strategy",0.91,886,50000,100000
The Legend of Tianding,Creative Games Computer Graphics Corporation,2021,15.99,"Action,Adventure,RPG",0.97,1068,50000,100000
Trials of Fire,Whatboy Games,2021,15.99,"Indie,RPG,Strategy",0.89,2248,50000,100000
The Great Ace Attorney Chronicles,"CAPCOM Co., Ltd.",2021,29.99,Adventure,0.96,1592,50000,100000
The Riftbreaker,EXOR Studios,2021,23.99,"Action,Adventure,Indie,RPG,Simulation,Strategy",0.92,8349,200000,500000
Pathfinder: Wrath of the Righteous,Owlcat Games,2021,42.49,"Adventure,Indie,RPG,Strategy",0.84,12501,500000,1000000
Little Nightmares II,Tarsier Studios,2021,20.09,Adventure,0.95,13907,500000,1000000
Resident Evil Village,"CAPCOM Co., Ltd.",2021,51.99,Action,0.95,45361,2000000,5000000
Kaze and the Wild Masks,PixelHive,2021,15.99,"Action,Adventure,Casual,Indie",0.98,507,0,20000
Cyber Shadow,"Aarne ""MekaSkull"" Hunziker",2021,15.99,"Action,Indie",0.83,727,50000,100000
The Ramp,Hyperparadise,2021,4.79,"Casual,Indie,Simulation,Sports",0.97,814,20000,50000
UnMetal,@unepic_fran,2021,12.99,"Action,Adventure,Indie",0.94,779,20000,50000
Circuit Superstars,Original Fire Games,2021,16.99,"Racing,in Early Access",0.88,934,20000,50000
Eastward,Pixpil,2021,22.49,"Adventure,Indie,RPG",0.85,9269,200000,500000
Clone Drone in the Danger Zone,Doborog Games,2021,11.99,"Action,Indie",0.97,14752,500000,1000000
Rainbow Billy: The Curse of the Leviathan,ManaVoid Entertainment,2021,14.99,"Adventure,Indie,RPG",1.0,29,0,20000
